id,name,gender,member_since,year_of_birth,place_of_birth,genres
1533,Lao Tzu,male,March 22 2010,1986,Iran,philosophy
1534,Anne Perry,female,July 5 2011,1994,Honduras,literature-fiction
1535,Shari Randall,female,September 16 2009,1992,Zambia,mystery$crime
1536,W. Michael Gear,male,March 6 2015,1964,Bissau,literature-fiction$nonfiction
1537,Margaret Wise Brown,female,February 12 2008,1987,Czech,children-s-books
1538,Bernard Cornwell,male,June 16 2007,1993,Lebanon,historical-fiction$mystery-thrillers
1539,Jackson Pearce,female,June 11 2010,1990,United States,young-adult
1540,Jean Rhys,female,August 5 2007,1968,Armenia,fiction
1541,Ednah Walters,female,February 16 2007,1952,El Salvador,romance
1542,Elizabeth Scott,male,April 21 2011,1977,New Zealand,young-adult
1543,Julie Reece,female,April 10 2015,1998,Antigua,young-adult
1544,Paolo Bacigalupi,male,July 24 2008,1954,Iran,science-fiction
1545,T.F. Walsh,female,January 22 2009,1950,Luxembourg,paranormal
1546,Michelle Diener,female,March 14 2015,1988,Switzerland,historical-fiction
1547,Desmond Young,male,March 13 2016,1973,South Sudan,biography$military-history
1548,Vi Keeland,female,March 17 2010,1988,Tanzania,romance
1549,Bridget Zinn,female,May 13 2010,1996,Kenya,young-adult
1550,Emily St. John Mandel,female,October 23 2019,1988,India,literature-fiction
1551,Robert Penn Warren,male,July 5 2019,1986,Liberia,poetry$fiction
1552,Anand Neelakantan,male,March 14 2018,1953,Chad,literature-fiction$religion-spirituality
1553,Cecelia Ahern,female,March 14 2012,1981,Bahrain,chick-lit
1554,Irene Helenowski,female,September 20 2007,1960,Niger,science-fiction$fantasy
1555,Chuck Dixon,male,February 7 2014,1998,Cameroon,comics-graphic-novels
1556,Jason  Matthews,male,October 13 2011,1978,Czech,thriller$suspense
1557,Alexandra Ivy,female,January 14 2019,1960,Argentina,romance
1558,Caroline Peckham,female,February 2 2016,1957,Kuwait,young-adult
1559,Sylvain Reynard,male,February 6 2015,1953,Honduras,literature-fiction
1560,Heidi Ashworth,female,September 4 2019,1956,Tanzania,romance
1561,Dan Slott,male,January 26 2017,1968,Bolivia,comics-graphic-novels
1562,Georgia Cates,male,January 14 2011,1991,Argentina,romance$adult
1563,Ransom Riggs,male,June 1 2017,1974,Brunei,young-adult
1564,Kelley Armstrong,female,June 10 2012,1953,Uzbekistan,science-fiction-fantasy$mystery-thrillers
1565,P.C. Cast,female,June 22 2008,1972,Canada,young-adult
1566,Kevin Henkes,male,April 23 2016,1964,Lebanon,children-s-books
1567,Hunter S. Jones,female,March 7 2011,1963,East Timor,history
1568,Ira Levin,male,December 18 2011,1972,Austria,mystery-thrillers$literature-fiction
1569,Tim Lebbon,male,October 25 2013,1976,Cuba,horror
1570,Cheryl Yeko,male,July 7 2011,1993,Panama,romance
1571,Carlos Ruiz Zafón,male,March 27 2016,1964,Afghanistan,literature-fiction
1572,Charity Bradford,female,August 20 2010,1993,Malta,science-fiction-fantasy
1573,Agatha Christie,female,November 6 2014,1964,New Zealand,mystery$crime
1574,Jessica Anthony,male,August 24 2014,1973,Bahamas,fiction
1575,Cat Winters,female,June 12 2009,1970,Djibouti,historical-fiction
1576,Benjamin Black,male,February 7 2016,1950,Tonga,mystery-thrillers$literature-fiction
1577,Britta Lundin,female,July 8 2013,1974,Senegal,young-adult
1578,Shanna Swendson,female,March 14 2011,1966,New Zealand,romance$science-fiction-fantasy
1579,Christopher Moore,male,May 11 2012,1963,Venezuela,literature-fiction
1580,Dakota Rebel,female,September 5 2015,1974,Czech,romance$erotic
1581,Kris Waldherr,male,December 4 2016,1955,Scotland,women-gender-studies
1582,Marieke Nijkamp,male,July 24 2014,1978,Romania,young-adult
1583,Louise Murphy,female,December 19 2014,1984,Iran,literature-fiction$poetry
1584,Colleen McCullough,female,December 12 2014,1999,USA,historical-fiction$romance$memoir
1585,E.D. Baker,female,August 5 2009,1984,Palau,science-fiction-fantasy
1586,Steven Erikson,male,January 2 2007,1953,Myanmar,science-fiction-fantasy
1587,Diane Duane,female,May 7 2016,1975,USA,science-fiction-fantasy$young-adult
1588,Charles Addams,male,September 26 2012,1972,Suriname,comics-graphic-novels$horror
1589,Eden Summers,male,October 15 2016,1955,Grenadines,romance
1590,Nicole  Williams,female,March 13 2010,1991,Serbia,young-adult
1591,Robert Bloch,male,October 13 2015,1971,Bissau,horror$mystery-thrillers$science-fiction-fantasy
1592,Pat Conroy,male,August 9 2014,1997,Marshall,literature-fiction$nonfiction
1593,Raymond Briggs,male,October 13 2014,1967,East Timor,children-s-books$comics-graphic-novels
1594,Steven Stickler,male,February 7 2012,1978,Angola,children-s-books
1595,John Keay,male,August 15 2016,1999,Gambia,history
1596,Scarlett Dawn,female,January 28 2017,1987,Estonia,romance
1597,Cindy Pon,female,April 15 2011,1957,Vatican,young-adult
1598,John Julius Norwich,male,March 8 2016,1954,Russia,history
1599,Jordan Sonnenblick,male,October 7 2016,1992,Maldives,children-s-books$young-adult
1600,Stewart O'Nan,male,May 21 2015,1973,Jordan,literature-fiction
1601,Gwen Hayes,female,March 16 2013,1974,Central African Republic,young-adult$romance
1602,James W. Loewen,male,November 12 2015,1954,Kosovo,history$nonfiction
1603,Esphyr Slobodkina,male,October 21 2011,1950,Finland,children-s
1604,Janet Evanovich,male,April 11 2010,1953,Lithuania,mystery-thrillers
1605,Hala Alyan,female,November 1 2017,1957,Slovenia,poetry
1606,Simon Winchester,male,June 6 2017,1968,Czech,nonfiction$history
1607,Martha Marks,male,September 24 2009,1958,Ivory Coast,historical-fiction
1608,Julie Buxbaum,male,April 17 2010,1962,Wales,literature-fiction
1609,Gregory David Roberts,male,March 18 2011,1996,Bahrain,literature-fiction$screenwriter
1610,Robert  Allison,male,April 26 2007,1962,Thailand,fiction$historical-fiction
1611,Yury Olesha,male,June 23 2016,1971,Tajikistan,classics$fiction-non-fiction
1612,Christopher  Shields,male,January 26 2019,1967,Grenada,young-adult
1613,Emily Brontë,female,September 10 2018,1991,Antigua,fiction$poetry
1614,H.D. Gordon,female,February 5 2009,1968,Nigeria,fantasy
1615,Skye Warren,male,May 26 2007,1968,India,romance$suspense
1616,L.J. Shen,female,March 14 2011,1995,Mauritius,romance$young-adult
1617,Annie Rains,female,November 16 2012,1996,Benin,romance
1618,Barry Banther,male,April 23 2016,1962,Senegal,business
1619,Kaye Gibbons,female,June 1 2017,1971,Korea,literature-fiction
1620,J.D. Field,male,November 16 2013,1957,Bangladesh,young-adult
1621,Alex Garland,male,April 13 2007,1957,Scottish,literature-fiction
1622,Betty  Smith,female,August 11 2009,1999,Oman,literature-fiction
1623,Heidi Cullinan,female,March 26 2014,1990,Syria,gay-lesbian
1624,Bernal Díaz del Castillo,male,January 6 2017,1992,Belarus,history$nonfiction$biographies-memoirs
1625,Adrian Phoenix,female,January 25 2008,1977,Myanmar,science-fiction-fantasy
1626,Mary  Weber,female,October 9 2015,1957,Luxembourg,young-adult
1627,Carrie Jones,female,December 5 2017,1955,Jordan,children-s-books$young-adult
1628,Henry James,male,November 18 2014,1969,Mali,literature-fiction$short-stories
1629,Lilith Saintcrow,female,April 8 2007,1970,Bhutan,science-fiction-fantasy$romance
1630,Michael Chabon,male,November 20 2018,1958,Azerbaijan,literature-fiction
1631,Elizabeth Letts,male,October 7 2013,1960,Sierra Leone,literature-fiction
1632,T.M. Frazier,female,December 22 2014,1989,Togo,fiction
1633,Isaac Bashevis Singer,male,June 6 2017,1952,Samoa,science-fiction-fantasy$literature-fiction
1634,Jacquelyn Frank,male,September 5 2016,1998,Israel,romance$science-fiction-fantasy
1635,Janette Sebring Lowrey,female,February 27 2016,1979,Sudan,children-s-books
1636,Constantinos P. Cavafis,male,May 23 2019,1982,Peru,poetry$fiction
1637,Tonya Hurley,female,January 6 2012,1994,South Sudan,young-adult
1638,Jennifer Roy,male,February 17 2014,1966,Cyprus,children-s
1639,Patricia C. Wrede,female,January 23 2018,1996,New Zealand,young-adult$fantasy
1640,N. Griffin,female,July 25 2010,1988,Kuwait,young-adult
1641,Piper Vaughn,male,February 9 2019,1952,Cape Verde,gay-lesbian
1642,Michelle Muto,female,April 28 2012,1961,Bhutan,young-adult
1643,Iris Chang,female,March 22 2012,1973,Slovenia,history$nonfiction
1644,Justin Halpern,male,November 8 2007,1963,Japan,humor
1645,Kylie Scott,male,May 16 2019,1989,San Marino,romance
1646,Sheri  Fink,female,July 13 2014,1951,England,non-fiction
1647,Jude Deveraux,female,December 8 2018,1953,Gabon,romance
1648,Lenore Look,male,May 14 2013,1962,Switzerland,children-s-books
1649,Stacy Green,female,December 17 2009,1957,Jordan,mystery-thrillers
1650,Jane Nickerson,female,January 9 2017,1998,Central African Republic,young-adult$historical-fiction
1651,Alice Sebold,male,January 5 2008,1965,Great Britain,literature-fiction$biographies-memoirs
1652,Sara Donati,female,June 14 2019,1974,East Timor,historical-fiction
1653,Richard J. Davidson,male,May 27 2014,1956,Bahrain,psychology$health-mind-body
1654,Jess  Russell,female,June 12 2015,1995,Malawi,romance
1655,Myra McEntire,male,June 4 2007,1967,Nigeria,science-fiction-fantasy
1656,Anna Breslaw,male,June 4 2016,1950,Mali,young-adult
1657,Tere Michaels,female,August 25 2015,1963,Papua,romance
1658,Manna Francis,male,August 7 2015,1953,Yemen,gay-and-lesbian$science-fiction
1659,Bridget Tyler,female,October 9 2017,1994,Zambia,science-fiction
1660,Heather Lynn Rigaud,female,January 16 2008,1971,America,romance
1661,Colleen Clayton,female,January 15 2009,1971,Georgia,young-adult$literature-fiction
1662,James N. Cook,male,February 25 2017,1972,Taiwan,fiction$horror$thriller
1663,Jonathan L. Ferrara,male,August 6 2011,1996,Seychelles,young-adult
1664,Claudia Gray,male,September 21 2011,1989,Japan,young-adult
1665,Megan Whitmer,female,September 21 2014,1985,Italy,young-adult
1666,Lucy Monroe,female,July 12 2012,1989,Uganda,romance
1667,Markus Zusak,male,May 7 2008,1958,Paraguay,literature-fiction
1668,Isabel Abedi,male,March 2 2017,1989,Jamaica,young-adult
1669,Dawn White,female,November 5 2018,1954,Hungary,crime
1670,Noah Levine,male,February 27 2016,1965,Kuwait,religion-spirituality$philosophy
1671,Astrid Yrigollen,female,March 5 2010,1957,Serbia,young-adult
1672,Frank E. Peretti,male,February 7 2009,1951,Nauru,mystery-thrillers
1673,Roshani Chokshi,male,May 6 2015,1989,Yemen,fantasy
1674,Nicholas Sparks,male,June 19 2016,1977,Zimbabwe,literature-fiction
1675,R.J. Larson,female,March 12 2013,1986,Niger,literature-fiction
1676,Crystal King,female,April 11 2014,1966,Guinea,historical-fiction
1677,Lamar Giles,male,March 4 2019,1961,Malawi,young-adult
1678,Kevin Brockmeier,male,March 10 2016,1956,Holland,literature-fiction$science-fiction-fantasy$children-s-books
1679,Lara Chapman,female,November 15 2012,1973,Guatemala,children-s
1680,Brian Keene,male,July 9 2015,1994,Estonia,horror
1681,Michael Connelly,male,November 3 2009,1992,Kosovo,crime
1682,Peter Høeg,male,September 26 2007,1954,Antigua,literature-fiction$mystery
1683,Jessica Concha,female,December 4 2016,1970,Bissau,fiction
1684,J.M. Barlog,male,November 10 2010,1996,Hungary,horror$historical-fiction
1685,L.E. Modesitt Jr.,male,June 2 2014,1988,Gambia,science-fiction-fantasy
1686,Megan   Smith,female,April 10 2012,1956,Liechtenstein,romance
1687,Chris Wooding,male,November 7 2019,1957,Ireland,literature-fiction
1688,Elie Wiesel,male,April 27 2007,1964,China,memoir$fiction
1689,Shirow Miwa,male,February 23 2012,1954,Mauritania,manga
1690,Rabindranath Tagore,male,May 7 2018,1989,Spain,songs-poetry-arts$literature-fiction$spirituality-philosophy
1691,LaVyrle Spencer,female,May 5 2011,1972,Bosnia,romance$historical-fiction
1692,Christine  Reilly,female,June 28 2010,1957,Latvia,fiction
1693,Chris Snider,male,December 20 2019,1985,Argentina,horror
1694,Tanith Lee,female,February 3 2010,1983,Bosnia,science-fiction-fantasy$horror
1695,Paige Toon,male,May 11 2017,1979,Lesotho,chick-lit
1696,Cynthia Rylant,female,October 23 2010,1968,United States,children-s-books$young-adult
1697,P.G. Wodehouse,male,October 17 2008,1999,Cape Verde,fiction$humor
1698,Patrick Dillon,male,May 10 2012,1961,Scotland,nonfiction
1699,Beth Kery,female,August 6 2009,1991,Emirate,romance
1700,Emma Straub,female,February 9 2013,1993,Kenya,literature-fiction
1701,Jasper Fforde,male,December 10 2011,1995,Malta,science-fiction-fantasy
1702,Gwyn Hyman Rubio,female,March 15 2018,1960,St Lucia,literature-fiction
1703,Greer Noble,female,January 4 2016,1981,Grenadines,suspense
1704,Kimberley Griffiths Little,female,June 22 2017,1978,Venezuela,young-adult
1705,Eugenia Kim,female,December 22 2016,1990,Scotland,historical-fiction
1706,David Westheimer,male,August 14 2008,1968,Czech,fiction$memoir
1707,P.D. James,female,September 26 2007,1986,Belgium,crime$mystery$suspense
1708,Michele Bardsley,male,December 8 2013,1960,El Salvador,paranormal
1709,Linwood Barclay,male,August 12 2018,1984,Bissau,mystery-thrillers
1710,Genevieve Dewey,male,July 11 2007,1996,Philippines,literature-fiction
1711,Atul Gawande,male,December 21 2016,1960,Somalia,nonfiction
1712,John Christopher,male,May 27 2009,1983,British,science-fiction-fantasy$children-s-books
1713,A.G. Howard,female,September 16 2015,1974,Georgia,young-adult
1714,Sylvain Neuvel,male,September 26 2011,1976,Bangladesh,science-fiction
1715,Farah Oomerbhoy,female,February 17 2011,1982,Honduras,young-adult
1716,Nicolette Day,female,February 21 2007,1968,Central African Republic,romance
1717,Shinobu Gotoh,male,May 4 2008,1990,Antigua,manga$gay-and-lesbian
1718,Paulette Jiles,female,September 13 2014,1987,Tanzania,literature-fiction$literature-fiction
1719,Angela E. Brooks,female,December 14 2010,1984,Haiti,ebooks
1720,Kimberly McCreight,female,December 15 2017,1983,Tunisia,literature-fiction
1721,Stanley M. Giannet,male,January 11 2008,1958,Gambia,health-mind-body$nonfiction$philosophy
1722,Rachel Vincent,female,January 15 2013,1957,Saudi Arabia,science-fiction-fantasy$young-adult
1723,E.B. White,male,December 17 2011,1999,San Marino,children-s-books$literature-fiction$non-fiction
1724,Kady Cross,female,May 17 2015,1988,Tanzania,historical-fiction
1725,Carlton Mellick III,male,October 23 2014,1957,Czech,bizarro-fiction
1726,Michael Cart,male,January 16 2012,1974,Gabon,non-fiction$young-adult
1727,George R. Stewart,male,November 7 2014,1959,Mali,science-fiction-fantasy$literature-fiction$outdoors-nature
1728,Tracy Grant,female,May 5 2010,1982,Morocco,mystery-thrillers
1729,A.L. Jackson,female,November 4 2018,1952,Scotland,romance
1730,Susan Stoker,female,September 9 2018,1995,Serbia,romance
1731,Hans Christian Andersen,male,July 2 2019,1951,Congo,children-s$fairytales$poetry
1732,O.J. Simpson,male,September 7 2019,1960,Grenada,memoir$crime
1733,Kenneth H. Blanchard,male,June 10 2007,1981,Bhutan,business-investing
1734,Thug Kitchen,male,January 16 2019,1950,Sri Lanka,cookbooks
1735,Sean      Allen,male,October 4 2010,1999,St Kitts,science-fiction-fantasy
1736,Jonathan Tropper,male,May 21 2008,1996,Malawi,literature-fiction
1737,Amber Lough,female,January 8 2011,1986,Wales,fantasy
1738,Nina Lane,female,February 10 2009,1993,Mozambique,literature-fiction
1739,Simon R. Green,male,June 22 2017,1996,India,science-fiction-fantasy
1740,Otoh Saki,female,May 26 2014,1985,Macedonia,manga
1741,Walter Isaacson,male,October 20 2016,1967,Malta,biography$history
1742,Hisamu Oto,male,August 7 2012,1970,Poland,manga
1743,Marcus Pfister,male,December 7 2009,1954,Peru,children-s-books
1744,Jasper Kent,male,August 22 2008,1998,St Lucia,horror
1745,John Scalzi,male,February 14 2009,1995,Congo,science-fiction-fantasy$science
1746,Edna O'Brien,female,April 3 2008,1972,Algeria,literature-fiction
1747,Melissa Kantor,male,September 11 2015,1963,Slovakia,young-adult
1748,Raine Miller,female,May 11 2017,1995,Great Britain,romance
1749,R.L. Griffin,female,August 13 2018,1991,Iran,fiction
1750,Roseanna M. White,female,August 9 2015,1989,El Salvador,christian
1751,Barbara Elsborg,female,February 19 2017,1955,Tuvalu,paranormal$romance
1752,Kendall Grey,male,December 22 2014,1956,Gabon,science-fiction-fantasy
1753,Scott Lynch,male,November 25 2011,1995,Eritrea,science-fiction-fantasy
1754,Lucinda Riley,female,August 26 2013,1993,El Salvador,historical-fiction
1755,Christine S. Feldman,female,February 18 2012,1992,Peru,romance$fantasy
1756,Kaylee Ryan,female,February 12 2007,1960,Dominica,romance
1757,Diana Ballew,female,April 8 2017,1973,Oman,romance
1758,Shungiku Nakamura,male,March 13 2014,1961,Italy,yaoi$slice-of-life$manga
1759,Gore Vidal,male,May 1 2013,1978,Canada,biography$fiction$historical-fiction
1760,Olivia Brynn,female,April 21 2007,1950,Monaco,romance
1761,Jonathan Swift,male,December 9 2015,1968,Haiti,fiction$satire$poetry
1762,Adam Jay Epstein,male,October 17 2010,1999,San Marino,young-adult$children-s-books
1763,Fannie Flagg,male,April 3 2013,1993,Zambia,literature-fiction
1764,Michelle Howard,male,May 19 2008,1962,Spain,romance$paranormal
1765,Annika Martin,male,August 26 2012,1970,Papua,romance
1766,Melanie Marchande,male,October 20 2008,1953,Sudan,romance
1767,Edith Wharton,female,December 28 2017,1994,Dominica,fiction
1768,Patricia Cornwell,female,April 10 2015,1971,Thailand,mystery-thrillers
1769,Austin Aslan,male,May 6 2007,1969,St Lucia,science-fiction
1770,Piers Anthony,male,January 28 2018,1954,Guinea,science-fiction-fantasy
1771,Airicka Phoenix,female,November 26 2011,1980,Myanmar,contemporary
1772,Raina Telgemeier,male,November 3 2010,1979,Bolivia,comics-graphic-novels$children-s-books
1773,Jared Diamond,male,March 6 2008,1993,Macedonia,social-sciences
1774,J.C. Valentine,female,December 7 2014,1991,Jamaica,romance$erotic-romance
1775,K.A. Linde,female,March 9 2015,1966,Bulgaria,romance
1776,Eoin Colfer,male,February 21 2011,1995,Tuvalu,literature-fiction
1777,Amanda Springer,male,May 15 2007,1988,Comoros,thriller
1778,Alice  Miller,female,August 12 2010,1990,El Salvador,psychology
1779,Marsha Mehran,female,June 20 2013,1957,Comoros,literature-fiction
1780,Martha R. Carr,male,July 23 2008,1997,Kosovo,thriller
1781,Dezső Kosztolányi,male,February 3 2007,1971,Cyprus,literature-fiction$poetry
1782,Kade Boehme,male,November 12 2007,1980,Latvia,gay-and-lesbian
1783,J. Kenner,female,February 5 2007,1966,Estonia,romance
1784,Cathy Maxwell,female,March 21 2011,1983,Montenegro,historical-fiction$romance
1785,Gina Kolata,female,November 13 2015,1986,Vatican,health-mind-body$science
1786,Marguerite Henry,female,July 20 2007,1992,Nepal,children-s-books$outdoors-nature
1787,Joseph F. Girzone,male,June 12 2016,1986,Paraguay,religion-spirituality
1788,Julia Scheeres,male,October 14 2007,1987,Hungary,biographies-memoirs
1789,D.M. Jarrett,male,August 2 2014,1953,Bangladesh,science-fiction
1790,Han Kang,female,March 6 2017,1950,Uruguay,fiction
1791,Jay McInerney,male,August 14 2018,1981,Greece,literature-fiction
1792,Travis Casey,male,February 18 2017,1957,Guinea,romance$humor-and-comedy
1793,Christine Brodien-Jones,male,September 18 2012,1980,Laos,children-s-books$science-fiction-fantasy
1794,John Elder Robison,male,August 19 2019,1998,Namibia,biographies-memoirs
1795,Karen Armstrong,male,April 5 2011,1998,Slovakia,religion-spirituality$history
1796,George Bernard Shaw,male,May 11 2015,1965,Taiwan,literature-fiction$theater
1797,Ellen Marie Wiseman,female,April 5 2019,1958,France,literature-fiction
1798,Krista Davis,female,August 18 2019,1969,Bahamas,mystery
1799,Lian Hearn,male,May 17 2011,1956,Sierra Leone,fiction
1800,Zoe Winters,female,August 8 2017,1995,Turkmenistan,romance$humor
1801,Melody Winter,female,February 24 2010,1963,Panama,romance
1802,Anurag Mathur,male,June 2 2007,1972,Eritrea,humor$travel$literature-fiction
1803,Johann Wolfgang von Goethe,male,April 14 2019,1989,Hungary,fiction$poetry$science
1804,Emily Godwin,female,November 21 2012,1986,Dominica,young-adult
1805,May Water,female,January 24 2018,1951,France,romance
1806,Lauren  Hunter,male,October 10 2015,1961,Albania,romance$paranormal
1807,Jennifer Crusie,female,November 2 2019,1953,Mali,romance$literature-fiction
1808,H.M. Ward,female,November 19 2014,1997,Vatican,new-adult
1809,China Miéville,male,October 12 2017,1995,Cuba,science-fiction-fantasy$literature-fiction
1810,Norman Mailer,male,March 5 2011,1959,Gambia,non-fiction$fiction
1811,Catherine Marshall,female,January 19 2018,1969,Guyana,religion-spirituality$nonfiction
1812,Anna Banks,male,September 3 2019,1991,Guyana,young-adult
1813,Annie Dillard,female,April 8 2008,1991,Qatar,nonfiction$literature-fiction
1814,Laurie Bowler,female,November 28 2015,1962,Tajikistan,horror$romance
1815,Cherrie Lynn,female,December 2 2011,1998,Argentina,romance
1816,Rahul Pandita,male,November 14 2018,1966,Syria,non-fiction$contemporary
1817,Idrus,male,March 4 2007,1957,Sri Lanka,literature-fiction
1818,Norman Rush,male,December 9 2012,1957,Marshall,literature-fiction
1819,Whitney G.,female,January 23 2010,1989,Djibouti,romance
1820,Janna Yeshanova,female,May 27 2008,1952,Ecuador,romance
1821,Judith Merkle Riley,female,December 20 2012,1975,Trinidad,historical-fiction$romance
1822,Laura Levine,male,April 4 2017,1991,Central African Republic,mystery-thrillers
1823,Rose Wynters,male,December 22 2008,1963,Syria,paranormal-romance
1824,Julie   Murphy,female,July 16 2015,1951,Croatia,young-adult
1825,Harper Sloan,female,December 16 2017,1989,Oman,contemporary
1826,Charlaine Harris,female,June 16 2012,1972,Singapore,urban-fantasy
1827,Julie Klassen,female,November 2 2010,1972,San Marino,historical-fiction
1828,Richard P. Denney,male,June 16 2015,1980,Cyprus,fiction$mystery$gay-and-lesbian
1829,C.E. Murphy,female,August 9 2019,1958,Tonga,science-fiction-fantasy
1830,Natasha Hanova,female,May 28 2017,1998,Estonia,paranormal
1831,Kara McDowell,female,August 19 2015,1960,Afghanistan,young-adult
1832,Sophie Summers,male,May 17 2013,1972,Botswana,fantasy
1833,Mike Chen,male,April 16 2010,1995,Malawi,science-fiction
1834,Amy Sandas,female,September 13 2009,1954,Micronesia,historical
1835,Michelle Rowen,female,June 26 2016,1967,Latvia,romance$science-fiction-fantasy
1836,Jason Harvey,male,March 5 2007,1986,Pakistan,nonfiction$health-mind-body
1837,Alexandra Adornetto,female,June 12 2007,1975,San Marino,young-adult-paranormal-romance$paranormal-fiction$romance
1838,E.M. Sky,male,January 4 2016,1994,Gabon,science-fiction-fantasy$young-adult
1839,S.E. Hinton,female,March 9 2011,1955,Finland,literature-fiction$young-adult
1840,Kristin Cashore,male,September 14 2016,1979,Portugal,science-fiction-fantasy
1841,Sandi Tan,female,September 15 2014,1977,Nigeria,literature-fiction
1842,Amy Engel,female,June 9 2008,1972,Monaco,suspense
1843,Mercy Celeste,male,September 25 2007,1986,Germany,romance
1844,Judith Starkston,female,August 1 2011,1989,Andorra,fantasy
1845,R.L. Mathewson,male,July 2 2014,1998,Costa Rica,romance
1846,Mie Hansson,female,December 1 2008,1996,Bulgaria,poetry
1847,M.K. Schiller,female,July 6 2015,1967,Rwanda,romance$chick-lit
1848,Megan Crane,female,January 16 2015,1993,Benin,romance
1849,Naomi Klein,male,October 6 2014,1968,Czech,nonfiction
1850,Catherine Lockwood,male,February 5 2015,1970,Saudi Arabia,alcoholism-recovery
1851,Jackie Griffiths,female,September 2 2012,1965,Albania,philosophy
1852,Nicki Elson,female,March 22 2010,1967,Tajikistan,romance$humor
